1-0-3-7-5-8	万
1-0-8-5-8-7	抱
1-0-8-5-8-8	抽
1-0-8-5-8-9	拒
1-0-8-5-9-0	拖
1-0-8-5-9-1	招
1-0-8-5-9-2	择
1-0-8-5-9-3	指
1-0-8-5-9-4	按
1-0-8-5-9-5	挣
1-0-8-5-9-6	振
1-0-8-5-9-7	捂
1-0-8-5-9-8	捎
1-0-8-5-9-9	捕
1-0-8-6-0-0	捞
1-0-8-6-0-1	换
1-0-8-6-0-2	捧
1-0-8-6-0-3	捱
1-0-8-6-0-4	授
1-0-8-6-0-5	探
1-0-8-6-0-6	掺
1-0-8-6-0-7	掼
1-0-8-6-0-8	揍
1-0-8-6-0-9	提
1-0-8-6-1-0	插
1-0-8-6-1-1	换
1-0-8-6-1-2	揾
1-0-8-6-1-3	搓
1-0-8-6-1-4	搬
1-0-8-6-1-5	摁
1-0-8-6-1-6	摆
1-0-8-6-1-7	摇
1-0-8-6-1-8	摊
1-0-8-6-1-9	摘
1-0-8-6-2-0	撈
1-0-8-6-2-1	撒
1-0-8-6-2-2	撤
1-0-8-6-2-3	攀
1-0-8-6-2-4	支
1-0-8-6-2-5	改
1-0-8-6-2-6	放
1-0-8-6-2-7	故
1-0-8-6-2-8	敢
1-0-8-6-2-9	整
1-0-8-6-3-0	计
1-0-8-6-3-1	料
1-0-8-6-3-2	斜
1-0-8-6-3-3	斟
1-0-8-6-3-4	斤
1-0-8-6-3-5	斧
1-0-8-6-3-6	断
1-0-8-6-3-7	斯
1-0-8-6-3-8	新
1-0-8-6-3-9	方
1-0-8-6-4-0	无
1-0-8-6-4-1	日
1-0-8-6-4-2	早
1-0-8-6-4-3	时
1-0-8-6-4-4	旺
1-0-8-6-4-5	昔
1-0-8-6-4-6	昱
1-0-8-6-4-7	显
1-0-8-6-4-8	脕
1-0-8-6-4-9	晶
1-0-8-6-5-0	暂
1-0-8-6-5-1	曹
1-0-8-6-5-2	曼
1-0-8-6-5-3	曾
1-0-8-6-5-4	會
1-0-8-6-5-5	月
1-0-8-6-5-6	有
1-0-8-6-5-7	朋
1-0-8-6-5-8	朕
1-0-8-6-5-9	望
1-0-8-6-6-0	朝
1-0-8-6-6-1	朱
1-0-8-6-6-2	木
1-0-8-6-6-3	杀
1-0-8-6-6-4	杆
1-0-8-6-6-5	桔
1-0-8-6-6-6	条
1-0-8-6-6-7	来
1-0-8-6-6-8	染
1-0-8-6-6-9	查
1-0-8-6-7-0	柳
1-0-8-6-7-1	标
1-0-8-6-7-2	栏
1-0-8-6-7-3	树
1-0-8-6-7-4	档
1-0-8-6-7-5	桔
1-0-8-6-7-6	桌
1-0-8-6-7-7	桐
1-0-8-6-7-8	档
1-0-8-6-7-9	桶
1-0-8-6-8-0	桷
1-0-8-6-8-1	梓
1-0-8-6-8-2	森
1-0-8-6-8-3	棱
1-0-8-6-8-4	棵
1-0-8-6-8-5	椰
1-0-8-6-8-6	椿
1-0-8-6-8-7	楒
1-0-8-6-8-8	楷
1-0-8-6-8-9	概
1-0-8-6-9-0	榆
1-0-8-6-9-1	榕
1-0-8-6-9-2	橙
1-0-8-6-9-3	檀
1-0-8-6-9-4	次
1-0-8-6-9-5	欢
1-0-8-6-9-6	欻
1-0-8-6-9-7	歉
1-0-8-6-9-8	此
1-0-8-6-9-9	武
1-0-8-7-0-0	残
1-0-8-7-0-1	殡
1-0-8-7-0-2	毒
1-0-8-7-0-3	比
1-0-8-7-0-4	毕
1-0-8-7-0-5	水
1-0-8-7-0-6	汇
1-0-8-7-0-7	汗
1-0-8-7-0-8	污
1-0-8-7-0-9	汤
1-0-8-7-1-0	汪
1-0-8-7-1-1	沈
1-0-8-7-1-2	设
1-0-8-7-1-3	沓
1-0-8-7-1-4	沟
1-0-8-7-1-5	殳
1-0-8-7-1-6	治
1-0-8-7-1-7	法
1-0-8-7-1-8	泡
1-0-8-7-1-9	泰
1-0-8-7-2-0	泽
1-0-8-7-2-1	洁
1-0-8-7-2-2	活
1-0-8-7-2-3	派
1-0-8-7-2-4	流
1-0-8-7-2-5	测
1-0-8-7-2-6	济
1-0-8-7-2-7	浑
1-0-8-7-2-8	浙
1-0-8-7-2-9	海
1-0-8-7-3-0	涌
1-0-8-7-3-1	涩
1-0-8-7-3-2	涯
1-0-8-7-3-3	淘
1-0-8-7-3-4	深
1-0-8-7-3-5	淼
1-0-8-7-3-6	清
1-0-8-7-3-7	渗
1-0-8-7-3-8	渠
1-0-8-7-3-9	渣
1-0-8-7-4-0	温
1-0-8-7-4-1	游
1-0-8-7-4-2	湾
1-0-8-7-4-3	滴
1-0-8-7-4-4	漂
1-0-8-7-4-5	漏
1-0-8-7-4-6	潘
1-0-8-7-4-7	潮
1-0-8-7-4-8	澧
1-0-8-7-4-9	激
1-0-8-7-5-0	灏
1-0-8-7-5-1	灰
1-0-8-7-5-2	炒
1-0-8-7-5-3	炖
1-0-8-7-5-4	点
1-0-8-7-5-5	炼
1-0-8-7-5-6	烂
1-0-8-7-5-7	烦
1-0-8-7-5-8	烫
1-0-8-7-5-9	然
1-0-8-7-6-0	煞
1-0-8-7-6-1	煮
1-0-8-7-6-2	熊
1-0-8-7-6-3	熏
1-0-8-7-6-4	熙
1-0-8-7-6-5	熟
1-0-8-7-6-6	燃
1-0-8-7-6-7	燥
1-0-8-7-6-8	爆
1-0-8-7-6-9	爱
1-0-8-7-7-0	父
1-0-8-7-7-1	版
1-0-8-7-7-2	牢
1-0-8-7-7-3	特
1-0-8-7-7-4	犯
1-0-8-7-7-5	狗
1-0-8-7-7-6	猛
1-0-8-7-7-7	猜
1-0-8-7-7-8	猪
1-0-8-7-7-9	猿
1-0-8-7-8-0	环
1-0-8-7-8-1	珍
1-0-8-7-8-2	珑
1-0-8-7-8-3	班
1-0-8-7-8-4	球
1-0-8-7-8-5	埋
1-0-8-7-8-6	琳
1-0-8-7-8-7	瑞
1-0-8-7-8-8	璠
1-0-8-7-8-9	瓜
1-0-8-7-9-0	瓣
1-0-8-7-9-1	瓶
1-0-8-7-9-2	甘
1-0-8-7-9-3	甚
1-0-8-7-9-4	甜
1-0-8-7-9-5	生
1-0-8-7-9-6	用
1-0-8-7-9-7	甩
1-0-8-7-9-8	由
1-0-8-7-9-9	电
1-0-8-8-0-0	界
1-0-8-8-0-1	疒
1-0-8-8-0-2	疯
1-0-8-8-0-3	疾
1-0-8-8-0-4	病
1-0-8-8-0-5	瘫
1-0-8-8-0-6	白
1-0-8-8-0-7	皇
1-0-8-8-0-8	皮
1-0-8-8-0-9	盖
1-0-8-8-1-0	盘
1-0-8-8-1-1	目
1-0-8-8-1-2	盯
1-0-8-8-1-3	直
1-0-8-8-1-4	相
1-0-8-8-1-5	盹
1-0-8-8-1-6	眼
1-0-8-8-1-7	着
1-0-8-8-1-8	睛
1-0-8-8-1-9	睡
1-0-8-8-2-0	睫
1-0-8-8-2-1	瞅
1-0-8-8-2-2	瞎
1-0-8-8-2-3	瞧
1-0-8-8-2-4	矣
1-0-8-8-2-5	码
1-0-8-8-2-6	破
1-0-8-8-2-7	砸
1-0-8-8-2-8	硒
1-0-8-8-2-9	硝
1-0-8-8-3-0	硬
1-0-8-8-3-1	碗
1-0-8-8-3-2	碧
1-0-8-8-3-3	磕
1-0-8-8-3-4	社
1-0-8-8-3-5	社
1-0-8-8-3-6	票
1-0-8-8-3-7	秀
1-0-8-8-3-8	秋
1-0-8-8-3-9	稳
1-0-8-8-4-0	稷
1-0-8-8-4-1	穴
1-0-8-8-4-2	章
1-0-8-8-4-3	膏
1-0-8-8-4-4	端
1-0-8-8-4-5	笑
1-0-8-8-4-6	笔
1-0-8-8-4-7	笛
1-0-8-8-4-8	第
1-0-8-8-4-9	等
1-0-8-8-5-0	答
1-0-8-8-5-1	筱
1-0-8-8-5-2	筹
1-0-8-8-5-3	签
1-0-8-8-5-4	简
1-0-8-8-5-5	箐
1-0-8-8-5-6	箫
1-0-8-8-5-7	箬
1-0-8-8-5-8	箱
1-0-8-8-5-9	米
1-0-8-8-6-0	类
1-0-8-8-6-1	粗
1-0-8-8-6-2	粟
1-0-8-8-6-3	粥
1-0-8-8-6-4	粮
1-0-8-8-6-5	精
1-0-8-8-6-6	精
1-0-8-8-6-7	糖
1-0-8-8-6-8	糗
1-0-8-8-6-9	系
1-0-8-8-7-0	糺
1-0-8-8-7-1	素
1-0-8-8-7-2	终
1-0-8-8-7-3	绥
1-0-8-8-7-4	红
1-0-8-8-7-5	纬
1-0-8-8-7-6	纯
1-0-8-8-7-7	细
1-0-8-8-7-8	丝
1-0-8-8-7-9	络
1-0-8-8-8-0	统
1-0-8-8-8-1	绳
1-0-8-8-8-2	绵
1-0-8-8-8-3	绿
1-0-8-8-8-4	缕
1-0-8-8-8-5	编
1-0-8-8-8-6	缝
1-0-8-8-8-7	罗
1-0-8-8-8-8	羊
1-0-8-8-8-9	群
1-0-8-8-9-0	翠
1-0-8-8-9-1	者
1-0-8-8-9-2	而
1-0-8-8-9-3	耕
1-0-8-8-9-4	聂
1-0-8-8-9-5	聊
1-0-8-8-9-6	肉
1-0-8-8-9-7	肖
1-0-8-8-9-8	股
1-0-8-8-9-9	肯
1-0-8-9-0-0	育
1-0-8-9-0-1	背
1-0-8-9-0-2	胡
1-0-8-9-0-3	能
1-0-8-9-0-4	脉
1-0-8-9-0-5	脓
1-0-8-9-0-6	脸
1-0-8-9-0-7	腿
1-0-8-9-0-8	膘
1-0-8-9-0-9	與
1-0-8-9-1-0	舒
1-0-8-9-1-1	舔
1-0-8-9-1-2	舟
1-0-8-9-1-3	芃
1-0-8-9-1-4	花
1-0-8-9-1-5	芷
1-0-8-9-1-6	芥
1-0-8-9-1-7	若
1-0-8-9-1-8	茄
1-0-8-9-1-9	茵
1-0-8-9-2-0	荆
1-0-8-9-2-1	草
1-0-8-9-2-2	荣
1-0-8-9-2-3	荤
1-0-8-9-2-4	药
1-0-8-9-2-5	莉
1-0-8-9-2-6	莾
1-0-8-9-2-7	菜
1-0-8-9-2-8	萃
1-0-8-9-2-9	萌
1-0-8-9-3-0	萍
1-0-8-9-3-1	萧
1-0-8-9-3-2	䒴
1-0-8-9-3-3	葡
1-0-8-9-3-4	董
1-0-8-9-3-5	葱
1-0-8-9-3-6	蒜
1-0-8-9-3-7	蒸
1-0-8-9-3-8	蔟
1-0-8-9-3-9	蔡
1-0-8-9-4-0	薪
1-0-8-9-4-1	藏
1-0-8-9-4-2	藻
1-0-8-9-4-3	蘭
1-0-8-9-4-4	虎
1-0-8-9-4-5	號
1-0-8-9-4-6	虫
1-0-8-9-4-7	虾
1-0-8-9-4-8	蚝
1-0-8-9-4-9	蛙
1-0-8-9-5-0	蛰
1-0-8-9-5-1	蜀
1-0-8-9-5-2	蜜
1-0-8-9-5-3	血
1-0-8-9-5-4	街
1-0-8-9-5-5	衙
1-0-8-9-5-6	衣
1-0-8-9-5-7	补
1-0-8-9-5-8	衰
1-0-8-9-5-9	袁
1-0-8-9-6-0	被
1-0-8-9-6-1	裆
1-0-8-9-6-2	裕
1-0-8-9-6-3	裙
1-0-8-9-6-4	裸
1-0-8-9-6-5	见
1-0-8-9-6-6	视
1-0-8-9-6-7	览
1-0-8-9-6-8	解
1-0-8-9-6-9	旁
1-0-8-9-7-0	說
1-0-8-9-7-1	説
1-0-8-9-7-2	警
1-0-8-9-7-3	计
1-0-8-9-7-4	证
1-0-8-9-7-5	记
1-0-8-9-7-6	讲
1-0-8-9-7-7	许
1-0-8-9-7-8	访
1-0-8-9-7-9	证
1-0-8-9-8-0	评
1-0-8-9-8-1	识
1-0-8-9-8-2	诊
1-0-8-9-8-3	话
1-0-8-9-8-4	详
1-0-8-9-8-5	诫
1-0-8-9-8-6	诶
1-0-8-9-8-7	课
1-0-8-9-8-8	谅
1-0-8-9-8-9	谎
1-0-8-9-9-0	谓
1-0-8-9-9-1	谜
1-0-8-9-9-2	谢
1-0-8-9-9-3	谦
1-0-8-9-9-4	象
1-0-8-9-9-5	貂
1-0-8-9-9-6	賣
1-0-8-9-9-7	賽
1-0-8-9-9-8	贝
1-0-8-9-9-9	责
1-0-9-0-0-0	败
1-0-9-0-0-1	账
1-0-9-0-0-2	货
1-0-9-0-0-3	购
1-0-9-0-0-4	贯
1-0-9-0-0-5	贱
1-0-9-0-0-6	贵
1-0-9-0-0-7	贼
1-0-9-0-0-8	贾
1-0-9-0-0-9	赌
1-0-9-0-1-0	赔
1-0-9-0-1-1	赞
1-0-9-0-1-2	走
1-0-9-0-1-3	起
1-0-9-0-1-4	超
1-0-9-0-1-5	趟
1-0-9-0-1-6	趣
1-0-9-0-1-7	跌
1-0-9-0-1-8	跟
1-0-9-0-1-9	跤
1-0-9-0-2-0	跪
1-0-9-0-2-1	路
1-0-9-0-2-2	踩
1-0-9-0-2-3	蹊
1-0-9-0-2-4	蹭
1-0-9-0-2-5	躁
1-0-9-0-2-6	身
1-0-9-0-2-7	輕
1-0-9-0-2-8	车
1-0-9-0-2-9	轨
1-0-9-0-3-0	转
1-0-9-0-3-1	软
1-0-9-0-3-2	轴
1-0-9-0-3-3	辅
1-0-9-0-3-4	辆
1-0-9-0-3-5	辉
1-0-9-0-3-6	辛
1-0-9-0-3-7	辩
1-0-9-0-3-8	迁
1-0-9-0-3-9	迎
1-0-9-0-4-0	还
1-0-9-0-4-1	连
1-0-9-0-4-2	迟
1-0-9-0-4-3	迹
1-0-9-0-4-4	退
1-0-9-0-4-5	送
1-0-9-0-4-6	适
1-0-9-0-4-7	通
1-0-9-0-4-8	逛
1-0-9-0-4-9	造
1-0-9-0-5-0	逸
1-0-9-0-5-1	逍
1-0-9-0-5-2	遭
1-0-9-0-5-3	邑
1-0-9-0-5-4	邢
1-0-9-0-5-5	邬
1-0-9-0-5-6	邯
1-0-9-0-5-7	郁
1-0-9-0-5-8	郎
1-0-9-0-5-9	郜
1-0-9-0-6-0	郝
1-0-9-0-6-1	鄂
1-0-9-0-6-2	酉
1-0-9-0-6-3	洒
1-0-9-0-6-4	酥
1-0-9-0-6-5	酱
1-0-9-0-6-6	酵
1-0-9-0-6-7	醉
1-0-9-0-6-8	醋
1-0-9-0-6-9	醛
1-0-9-0-7-0	醫
1-0-9-0-7-1	量
1-0-9-0-7-2	鋪
1-0-9-0-7-3	鑫
1-0-9-0-7-4	针
1-0-9-0-7-5	钓
1-0-9-0-7-6	钥
1-0-9-0-7-7	铁
1-0-9-0-7-8	铅
1-0-9-0-7-9	铣
1-0-9-0-8-0	锁
1-0-9-0-8-1	锂
1-0-9-0-8-2	锐
1-0-9-0-8-3	锲
1-0-9-0-8-4	镇
1-0-9-0-8-5	镜
1-0-9-0-8-6	镡
1-0-9-0-8-7	长
1-0-9-0-8-8	门
1-0-9-0-8-9	闫
1-0-9-0-9-0	闲
1-0-9-0-9-1	闵
1-0-9-0-9-2	闷
1-0-9-0-9-3	阁
1-0-9-0-9-4	阔
1-0-9-0-9-5	阙
1-0-9-0-9-6	阜
1-0-9-0-9-7	防
1-0-9-0-9-8	阳
1-0-9-0-9-9	阿
1-0-9-1-0-0	陆
1-0-9-1-0-1	陛
1-0-9-1-0-2	陨
1-0-9-1-0-3	险
1-0-9-1-0-4	陪
1-0-9-1-0-5	隆
1-0-9-1-0-6	隋
1-0-9-1-0-7	随
1-0-9-1-0-8	隔
1-0-9-1-0-9	雉
1-0-9-1-1-0	雍
1-0-9-1-1-1	雨
1-0-9-1-1-2	雷
1-0-9-1-1-3	雾
1-0-9-1-1-4	霉
1-0-9-1-1-5	霍
1-0-9-1-1-6	霖
1-0-9-1-1-7	霞
1-0-9-1-1-8	霸
1-0-9-1-1-9	靠
1-0-9-1-2-0	面
1-0-9-1-2-1	鞭
1-0-9-1-2-2	額
1-0-9-1-2-3	顾
1-0-9-1-2-4	顿
1-0-9-1-2-5	领
1-0-9-1-2-6	颜
1-0-9-1-2-7	颠
1-0-9-1-2-8	风
1-0-9-1-2-9	飘
1-0-9-1-3-0	食
1-0-9-1-3-1	饼
1-0-9-1-3-2	饿
1-0-9-1-3-3	馁
1-0-9-1-3-4	馍
1-0-9-1-3-5	馿
1-0-9-1-3-6	马
1-0-9-1-3-7	驰
1-0-9-1-3-8	驼
1-0-9-1-3-9	驿
1-0-9-1-4-0	骁
1-0-9-1-4-1	骆
1-0-9-1-4-2	高
1-0-9-1-4-3	鬼
1-0-9-1-4-4	魁
1-0-9-1-4-5	魂
1-0-9-1-4-6	魏
1-0-9-1-4-7	鱿
1-0-9-1-4-8	鲁
1-0-9-1-4-9	鲜
1-0-9-1-5-0	鲨
1-0-9-1-5-1	績
1-0-9-1-5-2	鸨
1-0-9-1-5-3	鸭
1-0-9-1-5-4	鹭
1-0-9-1-5-5	麟
1-0-9-1-5-6	黑
1-0-9-1-5-7	默
1-0-9-1-5-8	鼬
1-0-9-1-5-9	齊
1-0-9-1-6-0	龍
1-0-9-1-6-1	龙
1-0-9-1-6-2	龚
1-0-9-1-6-3	一
1-0-9-1-6-4	丁
1-0-9-1-6-5	万
1-0-9-1-6-6	专
1-0-9-1-6-7	泄
1-0-9-1-6-8	丛
1-0-9-1-6-9	丞
1-0-9-1-7-0	丢
1-0-9-1-7-1	两
1-0-9-1-7-2	中
1-0-9-1-7-3	串
1-0-9-1-7-4	丹
1-0-9-1-7-5	丽
1-0-9-1-7-6	乃
1-0-9-1-7-7	久
1-0-9-1-7-8	乎
1-0-9-1-7-9	乐
1-0-9-1-8-0	乜
1-0-9-1-8-1	九
1-0-9-1-8-2	也
1-0-9-1-8-3	习
1-0-9-1-8-4	乡
1-0-9-1-8-5	出
1-0-9-1-8-6	乸
1-0-9-1-8-7	乾
1-0-9-1-8-8	]
1-0-9-1-8-9	于
1-0-9-1-9-0	五
1-0-9-1-9-1	些
1-0-9-1-9-2	乡
1-0-9-1-9-3	亩
1-0-9-1-9-4	亭
1-0-9-1-9-5	衍
1-0-9-1-9-6	从
1-0-9-1-9-7	仕
1-0-9-1-9-8	付
1-0-9-1-9-9	仙
1-0-9-2-0-0	仞
1-0-9-2-0-1	以
1-0-9-2-0-2	仪
1-0-9-2-0-3	们
1-0-9-2-0-4	仲
1-0-9-2-0-5	件
1-0-9-2-0-6	任
1-0-9-2-0-7	优
1-0-9-2-0-8	估
1-0-9-2-0-9	仃
1-0-9-2-1-0	伶
1-0-9-2-1-1	但
1-0-9-2-1-2	位
1-0-9-2-1-3	何
1-0-9-2-1-4	佛
1-0-9-2-1-5	作
1-0-9-2-1-6	佩
1-0-9-2-1-7	佳
1-0-9-2-1-8	侉
1-0-9-2-1-9	例
1-0-9-2-2-0	侣
1-0-9-2-2-1	侨
1-0-9-2-2-2	促
1-0-9-2-2-3	俐
1-0-9-2-2-4	俩
1-0-9-2-2-5	修
1-0-9-2-2-6	个
1-0-9-2-2-7	倒
1-0-9-2-2-8	债
1-0-9-2-2-9	停
1-0-9-2-3-0	健
1-0-9-2-3-1	傅
1-0-9-2-3-2	像
1-0-9-2-3-3	儿
1-0-9-2-3-4	兄
1-0-9-2-3-5	先
1-0-9-2-3-6	光
1-0-9-2-3-7	兔
1-0-9-2-3-8	内
1-0-9-2-3-9	公
1-0-9-2-4-0	关
1-0-9-2-4-1	其
1-0-9-2-4-2	具
1-0-9-2-4-3	内
1-0-9-2-4-4	冇
1-0-9-2-4-5	冥
1-0-9-2-4-6	冲
1-0-9-2-4-7	冷
1-0-9-2-4-8	冻
1-0-9-2-4-9	冼
1-0-9-2-5-0	冽
1-0-9-2-5-1	凤
1-0-9-2-5-2	凯
1-0-9-2-5-3	凳
1-0-9-2-5-4	刀
1-0-9-2-5-5	刂
1-0-9-2-5-6	切
1-0-9-2-5-7	刑
1-0-9-2-5-8	划
1-0-9-2-5-9	列
1-0-9-2-6-0	刘
1-0-9-2-6-1	初
1-0-9-2-6-2	删
1-0-9-2-6-3	玎
1-0-9-2-6-4	制
1-0-9-2-6-5	刷
1-0-9-2-6-6	剂
1-0-9-2-6-7	剃
1-0-9-2-6-8	前
1-0-9-2-6-9	刚
1-0-9-2-7-0	剩
1-0-9-2-7-1	剪
1-0-9-2-7-2	副
1-0-9-2-7-3	办
1-0-9-2-7-4	加
1-0-9-2-7-5	动
1-0-9-2-7-6	勐
1-0-9-2-7-7	勒
1-0-9-2-7-8	勘
1-0-9-2-7-9	化
1-0-9-2-8-0	北
1-0-9-2-8-1	千
1-0-9-2-8-2	卅
1-0-9-2-8-3	升
1-0-9-2-8-4	华
1-0-9-2-8-5	卑
1-0-9-2-8-6	单
1-0-9-2-8-7	卖
1-0-9-2-8-8	博
1-0-9-2-8-9	卢
1-0-9-2-9-0	卯
1-0-9-2-9-1	卷
1-0-9-2-9-2	厄
1-0-9-2-9-3	具
1-0-9-2-9-4	参
1-0-9-2-9-5	及
1-0-9-2-9-6	取
1-0-9-2-9-7	受
1-0-9-2-9-8	句
1-0-9-2-9-9	另
1-0-9-3-0-0	叮
1-0-9-3-0-1	台
1-0-9-3-0-2	史
1-0-9-3-0-3	右
1-0-9-3-0-4	号
1-0-9-3-0-5	司
1-0-9-3-0-6	叻
1-0-9-3-0-7	吃
1-0-9-3-0-8	吆
1-0-9-3-0-9	吉
1-0-9-3-1-0	同
1-0-9-3-1-1	后
1-0-9-3-1-2	吖
1-0-9-3-1-3	吞
1-0-9-3-1-4	吧
1-0-9-3-1-5	吨
1-0-9-3-1-6	吴
1-0-9-3-1-7	吹
1-0-9-3-1-8	呃
1-0-9-3-1-9	呆
1-0-9-3-2-0	呐
1-0-9-3-2-1	员
1-0-9-3-2-2	呦
1-0-9-3-2-3	周
1-0-9-3-2-4	呲
1-0-9-3-2-5	味
1-0-9-3-2-6	呷
1-0-9-3-2-7	呼
1-0-9-3-2-8	咋
1-0-9-3-2-9	和
1-0-9-3-3-0	咕
1-0-9-3-3-1	咬
1-0-9-3-3-2	咯
1-0-9-3-3-3	咱
1-0-9-3-3-4	咳
1-0-9-3-3-5	咻
1-0-9-3-3-6	咿
1-0-9-3-3-7	哈
1-0-9-3-3-8	哑
1-0-9-3-3-9	哥
1-0-9-3-4-0	哭
1-0-9-3-4-1	唐
1-0-9-3-4-2	唛
1-0-9-3-4-3	唠
1-0-9-3-4-4	唱
1-0-9-3-4-5	商
1-0-9-3-4-6	问
1-0-9-3-4-7	啤
1-0-9-3-4-8	啧
1-0-9-3-4-9	善
1-0-9-3-5-0	喊
1-0-9-3-5-1	喜
1-0-9-3-5-2	喝
1-0-9-3-5-3	喽
1-0-9-3-5-4	嗒
1-0-9-3-5-5	嗖
1-0-9-3-5-6	嗦
1-0-9-3-5-7	嘞
1-0-9-3-5-8	嘴
1-0-9-3-5-9	嘿
1-0-9-3-6-0	噎
1-0-9-3-6-1	噢
1-0-9-3-6-2	器
1-0-9-3-6-3	嚓
1-0-9-3-6-4	四
1-0-9-3-6-5	因
1-0-9-3-6-6	国
1-0-9-3-6-7	图
1-0-9-3-6-8	圈
1-0-9-3-6-9	土
1-0-9-3-7-0	圣
1-0-9-3-7-1	圭
1-0-9-3-7-2	地
1-0-9-3-7-3	址
1-0-9-3-7-4	尘
1-0-9-3-7-5	坟
1-0-9-3-7-6	坡
1-0-9-3-7-7	城
1-0-9-3-7-8	埠
1-0-9-3-7-9	培
1-0-9-3-8-0	堂
1-0-9-3-8-1	堃
1-0-9-3-8-2	堆
1-0-9-3-8-3	堤
1-0-9-3-8-4	堵
1-0-9-3-8-5	境
1-0-9-3-8-6	士
1-0-9-3-8-7	声
1-0-9-3-8-8	壳
1-0-9-3-8-9	复
1-0-9-3-9-0	夕
1-0-9-3-9-1	够
1-0-9-3-9-2	天
1-0-9-3-9-3	太
1-0-9-3-9-4	汰
1-0-9-3-9-5	套
1-0-9-3-9-6	奢
1-0-9-3-9-7	奥
1-0-9-3-9-8	女
1-0-9-3-9-9	奶
1-0-9-4-0-0	好
1-0-9-4-0-1	如
1-0-9-4-0-2	妈
1-0-9-4-0-3	妻
1-0-9-4-0-4	姊
1-0-9-4-0-5	姚
1-0-9-4-0-6	姝
1-0-9-4-0-7	姨
1-0-9-4-0-8	姬
1-0-9-4-0-9	娃
1-0-9-4-1-0	娜
1-0-9-4-1-1	娟
1-0-9-4-1-2	婊
1-0-9-4-1-3	婕
1-0-9-4-1-4	嫁
1-0-9-4-1-5	嫘
1-0-9-4-1-6	嫩
1-0-9-4-1-7	子
1-0-9-4-1-8	孔
1-0-9-4-1-9	字
1-0-9-4-2-0	孙
1-0-9-4-2-1	季
1-0-9-4-2-2	孤
1-0-9-4-2-3	学
1-0-9-4-2-4	学
1-0-9-4-2-5	宅
1-0-9-4-2-6	宇
1-0-9-4-2-7	安
1-0-9-4-2-8	宋
1-0-9-4-2-9	完
1-0-9-4-3-0	官
1-0-9-4-3-1	室
1-0-9-4-3-2	宫
1-0-9-4-3-3	宰
1-0-9-4-3-4	宴
1-0-9-4-3-5	寂
1-0-9-4-3-6	寄
1-0-9-4-3-7	富
1-0-9-4-3-8	寮
1-0-9-4-3-9	寸
1-0-9-4-4-0	对
1-0-9-4-4-1	寺
1-0-9-4-4-2	射
1-0-9-4-4-3	将
1-0-9-4-4-4	小
1-0-9-4-4-5	尴
1-0-9-4-4-6	尸
1-0-9-4-4-7	尼
1-0-9-4-4-8	尾
1-0-9-4-4-9	屁
1-0-9-4-5-0	屄
1-0-9-4-5-1	居
1-0-9-4-5-2	屋
1-0-9-4-5-3	屎
1-0-9-4-5-4	屯
1-0-9-4-5-5	山
1-0-9-4-5-6	岁
1-0-9-4-5-7	峻
1-0-9-4-5-8	崔
1-0-9-4-5-9	崛
1-0-9-4-6-0	崧
1-0-9-4-6-1	川
1-0-9-4-6-2	左
1-0-9-4-6-3	巧
1-0-9-4-6-4	巨
1-0-9-4-6-5	已
1-0-9-4-6-6	已
1-0-9-4-6-7	巴
1-0-9-4-6-8	巾
1-0-9-4-6-9	帅
1-0-9-4-7-0	师
1-0-9-4-7-1	常
1-0-9-4-7-2	幢
1-0-9-4-7-3	庄
1-0-9-4-7-4	庆
1-0-9-4-7-5	床
1-0-9-4-7-6	庞
1-0-9-4-7-7	度
1-0-9-4-7-8	弄
1-0-9-4-7-9	弊
1-0-9-4-8-0	弹
1-0-9-4-8-1	归
1-0-9-4-8-2	当
1-0-9-4-8-3	彭
1-0-9-4-8-4	影
1-0-9-4-8-5	往
1-0-9-4-8-6	徐
1-0-9-4-8-7	得
1-0-9-4-8-8	御
1-0-9-4-8-9	微
1-0-9-4-9-0	德
1-0-9-4-9-1	忍
1-0-9-4-9-2	忒
1-0-9-4-9-3	忙
1-0-9-4-9-4	念
1-0-9-4-9-5	忻
1-0-9-4-9-6	怂
1-0-9-4-9-7	怎
1-0-9-4-9-8	怒
1-0-9-4-9-9	怕
1-0-9-5-0-0	怡
1-0-9-5-0-1	急
1-0-9-5-0-2	怪
1-0-9-5-0-3	恁
1-0-9-5-0-4	恒
1-0-9-5-0-5	恩
1-0-9-5-0-6	患
1-0-9-5-0-7	崝
1-0-9-5-0-8	惊
1-0-9-5-0-9	惟
1-0-9-5-1-0	惢
1-0-9-5-1-1	惭
1-0-9-5-1-2	想
1-0-9-5-1-3	愁
1-0-9-5-1-4	愈
1-0-9-5-1-5	意
1-0-9-5-1-6	愣
1-0-9-5-1-7	慕
1-0-9-5-1-8	懂
1-0-9-5-1-9	懒
1-0-9-5-2-0	成
1-0-9-5-2-1	戚
1-0-9-5-2-2	戛
1-0-9-5-2-3	戴
1-0-9-5-2-4	户
1-0-9-5-2-5	房
1-0-9-5-2-6	扉
1-0-9-5-2-7	手
1-0-9-5-2-8	扎
1-0-9-5-2-9	打
1-0-9-5-3-0	扭
1-0-9-5-3-1	抄
1-0-9-5-3-2	把
1-0-9-5-3-3	抓
1-0-9-5-3-4	抗
1-0-9-5-3-5	抢
1-0-9-5-3-6	抬
1-0-9-5-3-7	抱
